OBJECTID,Name,Type,x,y
272,Batu Papal Viewpoint,viewpoint,446920.1323,9138936.352
273,Candi Ijo,attraction,446173.8889,9139558.676
274,Bukit Bintang,viewpoint,442641.2663,9132682.317
275,Tourist Information,information,429802.0317,9138915.338
276,Kali Talang,attraction,440574.6537,9161826.72
277,Candi Prambanan,attraction,443924.7629,9143083.467
278,Klangon Hill,viewpoint,439916.1166,9162398.04
279,Museum Gula,museum,451647.7937,9146499.012
280,Sunset Temple Viewpoint,viewpoint,444102.7563,9143289.289
281,Reca Carat,artwork,468139.8912,9152861.124
282,Titik pandang,viewpoint,439825.8717,9162421.585
283,R. Mas bagio di umbul ponggok,artwork,459840.6764,9158492.765
284,Candi Sojiwan,attraction,444440.9603,9142103.153
285,Prambanan entrance,attraction,444348.1507,9142843.405
286,Air  Terjun Curug Silawe,alam,397388.2475,9175475.864
287,Air Terjun Kedung Kayang,alam,432754.9478,9170904.68
288,Ketep Pass,alam,431766.714,9171540.584
289,Air Terjun Sekar langit,alam,429076.2716,9185656.287
290,Telaga Bleder,alam,427867.0229,9183791.052
291,Pemandian Air Hangat Candi Umbul,alam,422415.6015,9186437.987
292,Air Terjun Sumuran Seloprojo,alam,431619.0741,9186250.042
293,Punthuk Mongkrong,alam,408960.022,9156021.264
294,Bekas Danau Purba,alam,409216.9879,9160538.206
295,Agrowisata Desa Borobudur,alam,412703.952,9158376.969
296,Agrowisata Sentra Nanas Kembanglimus,alam,409762.9129,9160351.352
297,Agrowisata Honey Bee Garden (Desa Giri Tengah),alam,410295.5656,9156303.565
298,Susur Sungai Elo,alam,416321.131,9165975.037
299,Punthuk Mangir Gunung Payung,alam,406663.2946,9170960.915
301,Saujana Perkampungan Lereng Gunung,alam,412926.416,9157229.816
302,Bukit Menoreh,alam,400634.7264,9140737.671
303,Candi Ngawen,budaya,418618.9401,9159392.76
306,Situs Brongsongan,budaya,410911.2498,9159813.042
308,Situs Dipan,budaya,412637.6614,9157482.559
309,Candi Asu Sengi,budaya,428474.2043,9167897.334
311,Bukit Gunung Gono,budaya,428474.2043,9167897.334
312,Candi Lumbung,budaya,428395.202,9167790.132
314,Candi Gunungsari,budaya,420936.8835,9159616.034
315,Candi Losari,budaya,424662.1811,9155481.323
316,Candi Selogriyo,budaya,408147.1801,9179222.213
317,Candi Batur,budaya,408006.2969,9180966.104
318,Situs Plandi,budaya,413963.2436,9163811.63
319,Situs Samberan,budaya,410122.9906,9162464.17
320,Situs Bowongan,budaya,410122.9906,9162464.17
321,Festival Telaga Bleder,buatan,427859.8357,9183807.747
327,Festival Kali Elo,buatan,416042.0152,9165758.574
330,Borobudur Art Center dan Village Healthy Life di Rumah Dharma Wanurejo,buatan,413338.8935,9159536.308
332,Kampung Dolanan Bumiharjo,buatan,405165.8781,9162993.42
333,Galeri dan Kerjainan Bambu Kebonsari,buatan,399953.3821,9160372.896
337,Arena Rekreatif dan Swafoto Svargabumi Ngadiharjo,buatan,412364.2442,9158361.409
338,Desa Wisata Candirejo,buatan,414935.416,9157111.809
339,Desa Wisata Wanurejo,buatan,413733.5319,9158539.95
340,Desa Wisata Karangrejo,buatan,409736.1535,9158592.533
341,Desa Wisata Borobudur,buatan,412696.8561,9159349.465
345,Desa Wisata Giritengah,buatan,405955.1002,9156637.318
346,Desa Wisata Sambeng,buatan,405955.1002,9156637.318
347,Desa Wisata Ngadiharjo,buatan,408529.5827,9158060.382
348,Desa Wisata Majaksingi,buatan,408529.5827,9158060.382
349,Desa Wisata Bigaran,buatan,416428.5082,9154567.971
351,Desa Wisata Ngargogondo,buatan,416428.5082,9154567.971
353,Desa Wisata Tuksongo,buatan,412338.2487,9157674.793
354,Desa Wisata Ngadiharjo,buatan,408046.8519,9158058.602
355,Desa Wisata Kenalan,buatan,413054.8067,9154868.762
356,Desa Wisata Tegalarum,buatan,413054.8067,9154868.762
357,Desa Wisata Kembanglimus,buatan,402078.999,9160155.076
359,Penyangga Obyek Wisata Gembira Loka,alam,433442.1904,9137104.288
360,Gethekan Susur Sungai dan Gajah Wong Riverwalk,alam,431280.8197,9134319.571
361,Puncak Suroloyo,alam,409682.9783,9154717.193
362,Perkebunan The Nglinggo,alam,403619.1915,9154744.601
363,Goa Kiskendo,alam,403619.1915,9154744.601
364,Kalibiru,alam,403673.9828,9136897.736
366,Kawasan Malioboro-Margamulya,budaya,430065.4391,9138450.521
367,Kraton Yogyakarta,budaya,430065.4391,9138450.521
369,Penyangga Obyek Wisata Tamansari dan Kraton Yogyakarta,budaya,429327.544,9136655.468
370,Ndalem Mangkubumen,budaya,429237.8422,9137095.461
374,Ndalem Kaneman,budaya,429237.8422,9137095.461
375,Ndalem Pakuningratan,budaya,429115.8321,9136848.854
376,Ndalem Joyokusuman,budaya,429558.3205,9136845.59
378,Istana Gedung Agung,budaya,429864.6571,9137738.672
379,Masjid Gede Kauman,budaya,429864.6571,9137738.672
380,Seni Budaya Lokal Ratmakan,budaya,429699.5719,9137326.231
381,Makam Raja Mataram,budaya,426739.5568,9133719.14
382,Kraton Kotagede,budaya,433604.7589,9134478.334
383,Ndalem Kedaton Purbayan,budaya,432773.7336,9134775.032
384,Cokroyudan Kotagede,budaya,433694.5149,9134362.024
385,Mbumen Kotagede,budaya,433531.2609,9134681.808
386,Kemasan Mboharen Kotagede,budaya,433774.3669,9134525.652
388,Berbagai Seni Pertunjukan dan Hasil Budaya Tradisional Kotagede,budaya,433438.1915,9134839.97
389,Bangunan Cagar Budaya Ndalem Djoyodipuran,budaya,430371.6143,9136539.853
393,Penyangga Kawasan Obyek Wisata Kraton Kadipaten Pakualaman,budaya,430141.5464,9137095.158
395,Museum Puro Pakualaman,budaya,430935.0811,9137651.252
404,Kuliner Lapangan Karangan,buatan,433404.138,9135237.196
405,Festival Kipo,buatan,433430.5578,9134743.1
406,Pusat Kerajinan dan Kuliner XT Square,buatan,432380.9052,9135858.848
408,Makam Ki Hajar Dewantara,buatan,431916.7211,9137020.069
411,Museum Sasana Wiratama Pangeran Diponegoro,buatan,431916.7211,9137020.069
412,Wisata Kuliner Seperti Jamu Ginggang dan Gudeg Permata,buatan,431063.3515,9137669.142
414,Museum Biologi Universitas Gadjah Mada,buatan,431024.4557,9137555.244
417,Museum Benteng Vrederburg,buatan,430575.6489,9137806.492
419,Museum Pusat Angkatan Darat Dharma Wiratama,buatan,431152.4144,9139649.307
420,Sentra Pembuatan Bakpia Pathuk,buatan,429220.346,9138131.027
421,Goa Maria Sendangsono,buatan,414584.6351,9152329.522
